Date : 2023-04-09 22:22:09
Directory : /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/backend/src
Total : 81 files,  -2037 codes, -294 comments, -38 blanks, all -2369 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Login/loginTemplate.jsx                                                | JavaScript JSX  |        -93 |         -5 |        -14 |       -112 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Attractions/Attractions.css                                       | CSS             |          0 |          0 |         -1 |         -1 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Attractions/Attractions.jsx                                       | JavaScript JSX  |        -72 |        -19 |        -13 |       -104 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/BudgetBuilder/BudgetBuilder.css                                   | CSS             |        -45 |          0 |         -6 |        -51 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/BudgetBuilder/BudgetBuilder.jsx                                   | JavaScript JSX  |        -59 |          0 |         -4 |        -63 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Details/Details.css                                               | CSS             |       -207 |         -9 |        -29 |       -245 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Details/Details.jsx                                               | JavaScript JSX  |       -175 |        -11 |        -26 |       -212 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Details/IncDecCounter.js                                          | JavaScript      |        -35 |          0 |         -2 |        -37 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Flights/FlightCard/FlightCard.css                                 | CSS             |       -260 |        -66 |        -44 |       -370 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Flights/FlightCard/SegmentRowLeft.jsx                             | JavaScript JSX  |        -91 |          0 |         -7 |        -98 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Flights/FlightCard/SegmentRowRight.jsx                            | JavaScript JSX  |        -81 |         -1 |         -9 |        -91 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Flights/FlightCard/SegmentWrapper.jsx                             | JavaScript JSX  |       -118 |        -10 |        -23 |       -151 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Flights/Flights.css                                               | CSS             |       -128 |        -17 |        -33 |       -178 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Flights/Flights.jsx                                               | JavaScript JSX  |        -66 |         -6 |         -9 |        -81 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/GridCard/GridCard.css                                             | CSS             |        -79 |         -2 |        -15 |        -96 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/GridCard/GridCard.jsx                                             | JavaScript JSX  |       -120 |        -21 |        -20 |       -161 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/GridCardAttrications/GridCardAttrications.css                     | CSS             |          0 |          0 |         -1 |         -1 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/GridCardAttrications/GridCardAttrications.jsx                     | JavaScript JSX  |        -38 |         -1 |         -2 |        -41 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Hotels/Hotels.css                                                 | CSS             |        -24 |         -1 |         -6 |        -31 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Hotels/Hotels.jsx                                                 | JavaScript JSX  |        -72 |        -19 |        -19 |       -110 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/MainAPI/MainAPI.css                                               | CSS             |        -11 |          0 |          0 |        -11 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/MainAPI/MainAPI.jsx                                               | JavaScript JSX  |       -108 |        -29 |        -30 |       -167 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/MainAPI/loaders.js                                                | JavaScript      |        -15 |        -28 |         -6 |        -49 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Navbar/Navbar.css                                                 | CSS             |        -93 |         -2 |        -15 |       -110 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Navbar/Navbar.jsx                                                 | JavaScript JSX  |        -96 |          0 |         -7 |       -103 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Signup/SignupPage.css                                             | CSS             |       -103 |        -20 |        -23 |       -146 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Signup/SignupPage.jsx                                             | JavaScript JSX  |       -114 |        -41 |        -12 |       -167 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/StarRating/StarRating.jsx                                         | JavaScript JSX  |        -21 |          0 |         -5 |        -26 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Cards/RemoveFromTrip.js                                   | JavaScript      |        -23 |        -13 |         -9 |        -45 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Cards/SegmentWrapperSummary.css                           | CSS             |       -240 |        -77 |        -39 |       -356 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Cards/SegmentWrapperSummary.jsx                           | JavaScript JSX  |       -104 |         -4 |        -16 |       -124 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Cards/SummaryGridCard.css                                 | CSS             |        -83 |         -7 |        -18 |       -108 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Cards/SummaryGridCard.jsx                                 | JavaScript JSX  |       -123 |        -17 |        -31 |       -171 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Summary.css                                               | CSS             |       -163 |        -21 |        -38 |       -222 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Main/Summary/Summary.jsx                                               | JavaScript JSX  |       -129 |        -81 |        -27 |       -237 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/Components/Signup/SignupPage.jsx                                                  | JavaScript JSX  |        -10 |          0 |         -2 |        -12 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/System/reportWebVitals.js                                                         | JavaScript      |        -12 |          0 |         -1 |        -13 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/index.js                                                                          | JavaScript      |        -16 |         -3 |         -4 |        -23 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/store/store 2.js                                                                  | JavaScript      |        -19 |         -4 |         -5 |        -28 |
| /Users/nickgendron/Desktop/CSC-3380-Rainbow-Team/frontend/src/store/store.js                                                                    | JavaScript      |        -19 |         -4 |         -5 |        -28 |
| Total                                                                                                                                           |                 |     -2,037 |       -294 |        -38 |     -2,369 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
